table_schema,table_name,column_name,data_type,is_nullable,column_default
FH,FHAPCheckPrintTemplates,FHAPCheckTemplateKey,uuid,NO,
FH,FHAPCheckPrintTemplates,FHBankAccountSetupDataKey,uuid,YES,
FH,FHAPCheckPrintTemplates,BankNumber,text,YES,
FH,FHAPCheckPrintTemplates,TemplateName,text,YES,
FH,FHAPCheckPrintTemplates,IsPrintWithOverlay,boolean,NO,
FH,FHAPCheckPrintTemplates,Overlay,text,YES,
FH,FHAPCheckPrintTemplates,PrintPaperFontCode,integer,YES,
FH,FHAPCheckPrintTemplates,HtmlTemplate,text,YES,
FH,FHAPCheckPrintTemplates,IsEditable,boolean,NO,
FH,FHAPCheckPrintTemplates,HtmlString,text,YES,
FH,FHAPCheckPrintTemplates,IsDefault,boolean,YES,
FH,FHAPCheckPrintTemplates,Created,timestamp without time zone,YES,
FH,FHAPCheckPrintTemplates,CreatedBy,text,YES,
FH,FHAPCheckPrintTemplates,LastModified,timestamp without time zone,YES,
FH,FHAPCheckPrintTemplates,LastModifiedBy,text,YES,
FH,FHAPCheckPrintTemplates,IsInActive,boolean,NO,
FH,FHAPCheckPrintTemplates,PrintPaperLength,numeric,YES,
FH,FHAPCheckPrintTemplates,PrintPaperWidth,numeric,YES,
FH,FHAPCheckPrintTemplates,PrintPaperFontSize,numeric,YES,
FH,FHAPCheckPrintTemplates,OverlayName,text,YES,
FH,FHAPCheckPrintTemplates,CSSStyle,text,YES,
FH,FHAPCheckPrintTemplates,HTMLPrintTemplate,text,YES,
FH,FHAPCheckPrintTemplates,HtmlTableBody,text,YES,
FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey,uuid,NO,
FH,FHAPFinalizedRunDatas,RunNumber,integer,NO,
FH,FHAPFinalizedRunDatas,InvoiceCount,integer,NO,
FH,FHAPFinalizedRunDatas,CheckCount,integer,NO,
FH,FHAPFinalizedRunDatas,InvoiceAmount,numeric,NO,
FH,FHAPFinalizedRunDatas,CheckAmount,numeric,NO,
FH,FHAPFinalizedRunDatas,PostingDate,timestamp without time zone,NO,
FH,FHAPFinalizedRunDatas,APRunStatus,integer,NO,
FH,FHAPFinalizedRunDatas,Created,timestamp without time zone,YES,
FH,FHAPFinalizedRunDatas,CreatedBy,text,YES,
FH,FHAPFinalizedRunDatas,LastModified,timestamp without time zone,YES,
FH,FHAPFinalizedRunDatas,LastModifiedBy,text,YES,
FH,FHAPFinalizedRunDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceAccountLineCreditAmountLogs,FHAPInvoiceAccountLineCreditAmountLogKey,uuid,NO,
FH,FHAPInvoiceAccountLineCreditAmountLogs,FHAPInvoiceAccountLineFromDataKey,uuid,NO,
FH,FHAPInvoiceAccountLineCreditAmountLogs,OldCreditAmount,numeric,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,AppliedCreditAmount,numeric,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,NewCreditAmount,numeric,NO,
FH,FHAPInvoiceAccountLineCreditAmountLogs,Created,timestamp without time zone,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,CreatedBy,text,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,LastModifiedBy,text,YES,
FH,FHAPInvoiceAccountLineCreditAmountLogs,IsInActive,boolean,NO,
FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceAccountLineDataKey,uuid,NO,
FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceDataKey,uuid,NO,
FH,FHAPInvoiceAccountLineDatas,FHGLAccountDataKey,uuid,NO,
FH,FHAPInvoiceAccountLineDatas,Amount,numeric,NO,
FH,FHAPInvoiceAccountLineDatas,Reference,text,NO,
FH,FHAPInvoiceAccountLineDatas,FHDistributionIdSetupDataKey,uuid,NO,
FH,FHAPInvoiceAccountLineDatas,Is1099Transaction,integer,NO,
FH,FHAPInvoiceAccountLineDatas,CheckGrouping,text,YES,
FH,FHAPInvoiceAccountLineDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceAccountLineDatas,CreatedBy,text,YES,
FH,FHAPInvoiceAccountLineDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceAccountLineDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceAccountLineDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceAccountLineDatas,FHApInvoiceCheckDataKey,uuid,YES,
FH,FHAPInvoiceAccountLineDatas,AppliedCreditAmount,numeric,YES,
FH,FHAPInvoiceAccountLineDatas,AvailableCreditAmount,numeric,YES,
FH,FHAPInvoiceAccountLineDatas,BalanceCreditAmount,numeric,YES,
FH,FHAPInvoiceAccountLineDatas,ActualPaymentAmount,numeric,YES,
FH,FHAPInvoiceAccountLineDatas,PaidAmountByVendorCredit,numeric,YES,
FH,FHAPInvoiceAccountLineDatas,BankNumber,text,YES,
FH,FHAPInvoiceAccountLineDatas,CheckGroupingNumber,integer,NO,0
FH,FHAPInvoiceAccountLineDatas,FHBankAccountSetupDataKey,uuid,YES,
FH,FHAPInvoiceCheckDatas,FHAPInvoiceCheckDataKey,uuid,NO,
FH,FHAPInvoiceCheckDatas,FHAPInvoiceDataKey,uuid,YES,
FH,FHAPInvoiceCheckDatas,InvoiceNumber,text,NO,
FH,FHAPInvoiceCheckDatas,InvoiceDate,timestamp without time zone,NO,
FH,FHAPInvoiceCheckDatas,InvoiceAmount,numeric,NO,
FH,FHAPInvoiceCheckDatas,CheckAmount,numeric,NO,
FH,FHAPInvoiceCheckDatas,Description,text,YES,
FH,FHAPInvoiceCheckDatas,FHVendorSetupDataKey,uuid,NO,
FH,FHAPInvoiceCheckDatas,FHBankAccountSetupDataKey,uuid,NO,
FH,FHAPInvoiceCheckDatas,PrintStatus,integer,NO,
FH,FHAPInvoiceCheckDatas,FHAPFinalizedRunDataKey,uuid,YES,
FH,FHAPInvoiceCheckDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceCheckDatas,CreatedBy,text,YES,
FH,FHAPInvoiceCheckDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceCheckDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceCheckDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceCheckDatas,FHDistributionIdSetupDataKey,uuid,YES,
FH,FHAPInvoiceCheckDatas,ActualPaymentAmount,numeric,YES,
FH,FHAPInvoiceCheckDatas,PaidAmountByVendorCredit,numeric,YES,
FH,FHAPInvoiceCheckDatas,CheckDate,timestamp without time zone,YES,
FH,FHAPInvoiceCheckDatas,CheckNumber,bigint,YES,
FH,FHAPInvoiceCheckPrintDatas,FHAPInvoiceCheckPrintDataKey,uuid,NO,
FH,FHAPInvoiceCheckPrintDatas,IsVendorAndAmountVerified,boolean,NO,
FH,FHAPInvoiceCheckPrintDatas,IsPrintedCorrectly,boolean,NO,
FH,FHAPInvoiceCheckPrintDatas,ReprintReason,text,YES,
FH,FHAPInvoiceCheckPrintDatas,DamagedCheckRange,text,YES,
FH,FHAPInvoiceCheckPrintDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceCheckPrintDatas,CreatedBy,text,YES,
FH,FHAPInvoiceCheckPrintDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceCheckPrintDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceCheckPrintDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceCheckPrintDatas,FromCheckNumber,bigint,NO,0
FH,FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckPrintLogKey,uuid,NO,
FH,FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckDataKey,uuid,NO,
FH,FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckPrintDataKey,uuid,YES,
FH,FHAPInvoiceCheckPrintLogs,Created,timestamp without time zone,YES,
FH,FHAPInvoiceCheckPrintLogs,CreatedBy,text,YES,
FH,FHAPInvoiceCheckPrintLogs,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceCheckPrintLogs,LastModifiedBy,text,YES,
FH,FHAPInvoiceCheckPrintLogs,IsInActive,boolean,NO,
FH,FHAPInvoiceCheckPrintLogs,Status,integer,YES,
FH,FHAPInvoiceCheckPrintLogs,NewCheckNumber,bigint,NO,0
FH,FHAPInvoiceCheckPrintLogs,OldCheckNumber,bigint,YES,
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceToDataKey,uuid,NO,
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceFromDataKey,uuid,NO,
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceCreditAppliedDataKey,uuid,NO,
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceAccountLineFromDataKey,uuid,NO,
FH,FHAPInvoiceCreditAppliedDatas,AppliedCreditAmount,numeric,NO,
FH,FHAPInvoiceCreditAppliedDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceCreditAppliedDatas,CreatedBy,text,YES,
FH,FHAPInvoiceCreditAppliedDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceCreditAppliedDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceCreditAppliedDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceDatas,FHAPInvoiceDataKey,uuid,NO,
FH,FHAPInvoiceDatas,FHVendorSetupDataKey,uuid,NO,
FH,FHAPInvoiceDatas,InvoiceNumber,text,NO,
FH,FHAPInvoiceDatas,InvoiceDate,timestamp without time zone,NO,
FH,FHAPInvoiceDatas,InvoiceAmount,numeric,NO,
FH,FHAPInvoiceDatas,Description,text,YES,
FH,FHAPInvoiceDatas,Status,integer,NO,
FH,FHAPInvoiceDatas,FHAPFinalizedRunDataKey,uuid,YES,
FH,FHAPInvoiceDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceDatas,CreatedBy,text,YES,
FH,FHAPInvoiceDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceDatas,PaymentMethod,integer,YES,
FH,FHAPInvoiceDatas,PaymentStatus,integer,YES,
FH,FHAPInvoiceDatas,VoidDate,timestamp without time zone,YES,
FH,FHAPInvoiceDatas,VoidReason,text,YES,
FH,FHAPInvoiceDatas,VoidAction,integer,YES,
FH,FHAPInvoiceDatas,ActualPaymentAmount,numeric,YES,
FH,FHAPInvoiceDatas,PaidAmountByVendorCredit,numeric,YES,
FH,FHAPInvoiceNachaDatas,FHAPInvoiceNachaDataKey,uuid,NO,
FH,FHAPInvoiceNachaDatas,NachaUniqueId,integer,NO,
FH,FHAPInvoiceNachaDatas,FHAPFinalizedRunDataKey,uuid,YES,
FH,FHAPInvoiceNachaDatas,FileName,text,NO,
FH,FHAPInvoiceNachaDatas,FileExtension,text,NO,
FH,FHAPInvoiceNachaDatas,FilePath,text,NO,
FH,FHAPInvoiceNachaDatas,ZipFileName,text,NO,
FH,FHAPInvoiceNachaDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceNachaDatas,CreatedBy,text,YES,
FH,FHAPInvoiceNachaDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceNachaDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceNachaDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceNachaDetailDataKey,uuid,NO,
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceNachaDataKey,uuid,YES,
FH,FHAPInvoiceNachaDetailDatas,FHBankAccountSetupDataKey,uuid,YES,
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceDataKey,uuid,YES,
FH,FHAPInvoiceNachaDetailDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceNachaDetailDatas,CreatedBy,text,YES,
FH,FHAPInvoiceNachaDetailDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceNachaDetailDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceNachaDetailDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceAccountLineDataKey,uuid,YES,
FH,FHAPInvoiceNachalogs,FHAPInvoiceNachalogKey,uuid,NO,
FH,FHAPInvoiceNachalogs,FHAPInvoiceNachaDataKey,uuid,YES,
FH,FHAPInvoiceNachalogs,Created,timestamp without time zone,YES,
FH,FHAPInvoiceNachalogs,CreatedBy,text,YES,
FH,FHAPInvoiceNachalogs,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceNachalogs,LastModifiedBy,text,YES,
FH,FHAPInvoiceNachalogs,IsInActive,boolean,NO,
FH,FHAPInvoiceNachalogs,Message,text,YES,
FH,FHAPInvoiceNachalogs,Status,integer,NO,0
FH,FHAPInvoiceNachalogs,Type,integer,NO,0
FH,FHAPInvoiceNoteAttachmentDatas,FHAPInvoiceNoteAttachmentDataKey,uuid,NO,
FH,FHAPInvoiceNoteAttachmentDatas,FHAPInvoiceNoteDataKey,uuid,YES,
FH,FHAPInvoiceNoteAttachmentDatas,FileName,text,NO,
FH,FHAPInvoiceNoteAttachmentDatas,FilePath,text,NO,
FH,FHAPInvoiceNoteAttachmentDatas,Size,integer,NO,
FH,FHAPInvoiceNoteAttachmentDatas,FileExtension,text,NO,
FH,FHAPInvoiceNoteAttachmentDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceNoteAttachmentDatas,CreatedBy,text,YES,
FH,FHAPInvoiceNoteAttachmentDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceNoteAttachmentDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceNoteAttachmentDatas,IsInActive,boolean,NO,
FH,FHAPInvoiceNotesDatas,FHAPInvoiceNoteDataKey,uuid,NO,
FH,FHAPInvoiceNotesDatas,FHAPInvoiceDataKey,uuid,YES,
FH,FHAPInvoiceNotesDatas,Note,text,NO,
FH,FHAPInvoiceNotesDatas,Created,timestamp without time zone,YES,
FH,FHAPInvoiceNotesDatas,CreatedBy,text,YES,
FH,FHAPInvoiceNotesDatas,LastModified,timestamp without time zone,YES,
FH,FHAPInvoiceNotesDatas,LastModifiedBy,text,YES,
FH,FHAPInvoiceNotesDatas,IsInActive,boolean,NO,
FH,FHAPParameterSettings,FHAPParameterSettingsKey,uuid,NO,
FH,FHAPParameterSettings,GLUpdateMode,integer,NO,
FH,FHAPParameterSettings,UseTaxRate,numeric,YES,
FH,FHAPParameterSettings,FederalTaxId,text,NO,
FH,FHAPParameterSettings,StateTaxId,text,NO,
FH,FHAPParameterSettings,UseCheckVoucher,integer,NO,
FH,FHAPParameterSettings,VoucherFormat,integer,NO,
FH,FHAPParameterSettings,Created,timestamp without time zone,YES,
FH,FHAPParameterSettings,CreatedBy,text,YES,
FH,FHAPParameterSettings,LastModified,timestamp without time zone,YES,
FH,FHAPParameterSettings,LastModifiedBy,text,YES,
FH,FHAPParameterSettings,IsInActive,boolean,NO,
FH,FHAPParameterSettings,UseNonStandardCheckFormatting,integer,YES,
FH,FHAPParameterSettingsInformations,FHAPParameterSettingsInformationKey,uuid,NO,
FH,FHAPParameterSettingsInformations,Field,text,YES,
FH,FHAPParameterSettingsInformations,HeaderName,text,YES,
FH,FHAPParameterSettingsInformations,Description,text,YES,
FH,FHAPParameterSettingsInformations,Created,timestamp without time zone,YES,
FH,FHAPParameterSettingsInformations,CreatedBy,text,YES,
FH,FHAPParameterSettingsInformations,LastModified,timestamp without time zone,YES,
FH,FHAPParameterSettingsInformations,LastModifiedBy,text,YES,
FH,FHAPParameterSettingsInformations,IsInActive,boolean,NO,
FH,FHAPPrintDataLogs,FHAPPrintDataLogKey,uuid,NO,
FH,FHAPPrintDataLogs,PrintCategory,integer,YES,
FH,FHAPPrintDataLogs,VoucherNumber,text,YES,
FH,FHAPPrintDataLogs,CheckNumber,text,YES,
FH,FHAPPrintDataLogs,VoucherFormat,integer,YES,
FH,FHAPPrintDataLogs,TaxFormat,integer,YES,
FH,FHAPPrintDataLogs,InvoiceNumber,text,YES,
FH,FHAPPrintDataLogs,Created,timestamp without time zone,YES,
FH,FHAPPrintDataLogs,CreatedBy,text,YES,
FH,FHAPPrintDataLogs,LastModified,timestamp without time zone,YES,
FH,FHAPPrintDataLogs,LastModifiedBy,text,YES,
FH,FHAPPrintDataLogs,IsInActive,boolean,NO,
FH,FHAPRunBankTransactionMappingDatas,FHAPRunBankTransactionMappingDataKey,uuid,NO,
FH,FHAPRunBankTransactionMappingDatas,FHAPFinalizedRunDataKey,uuid,YES,
FH,FHAPRunBankTransactionMappingDatas,FHAPInvoiceDataKey,uuid,YES,
FH,FHAPRunBankTransactionMappingDatas,FHAPInvoiceCheckDataKey,uuid,YES,
FH,FHAPRunBankTransactionMappingDatas,FHBankTransactionDataKey,uuid,YES,
FH,FHAPRunJournalMappingDatas,FHAPRunJournalMappingDataKey,uuid,NO,
FH,FHAPRunJournalMappingDatas,FHAPFinalizedRunDataKey,uuid,YES,
FH,FHAPRunJournalMappingDatas,FHAPInvoiceDataKey,uuid,YES,
FH,FHAPRunJournalMappingDatas,FHGLJournalDataKey,uuid,YES,
FH,FHARParameterSettings,FHARParameterSettingsKey,uuid,NO,
FH,FHARParameterSettings,DefaultIVRRevenueCode,integer,NO,
FH,FHARParameterSettings,Created,timestamp without time zone,YES,
FH,FHARParameterSettings,CreatedBy,text,YES,
FH,FHARParameterSettings,LastModified,timestamp without time zone,YES,
FH,FHARParameterSettings,LastModifiedBy,text,YES,
FH,FHARParameterSettings,IsInActive,boolean,NO,
FH,FHARParameterSettings,DefaultIVRRevenueCodeDataKey,uuid,YES,
FH,FHARParameterSettings,DefaultBankForCreditCardDepositsGLDataKey,uuid,YES,
FH,FHARParameterSettings,DefaultBankForCreditCardDepositsUBDataKey,uuid,YES,
FH,FHARParameterSettings,DefaultIVRPaymentTypeDataKey,uuid,YES,
FH,FHARParameterSettings,DefaultPaymentTypeDataKey,uuid,YES,
FH,FHARParameterSettings,DepositNonCreditCardPmtsbyPmtType,integer,YES,
FH,FHARParameterSettings,DepositNonCreditCardPmtstoBankonGLDistId,integer,YES,
FH,FHARParameterSettings,FrontDeskBankNumberDataKey,uuid,YES,
FH,FHARParameterSettings,FrontDeskCreditCardPaymentTypeDataKey,uuid,YES,
FH,FHARParameterSettings,FrontDeskECheckPaymentTypeDataKey,uuid,YES,
FH,FHARParameterSettings,FrontDeskUBRevenueCodeDataKey,uuid,YES,
FH,FHARParameterSettings,LastJournalNumber,integer,NO,0
FH,FHARParameterSettingsInformations,FHARParameterSettingsInformationKey,uuid,NO,
FH,FHARParameterSettingsInformations,Field,text,YES,
FH,FHARParameterSettingsInformations,HeaderName,text,YES,
FH,FHARParameterSettingsInformations,Description,text,YES,
FH,FHARParameterSettingsInformations,Created,timestamp without time zone,YES,
FH,FHARParameterSettingsInformations,CreatedBy,text,YES,
FH,FHARParameterSettingsInformations,LastModified,timestamp without time zone,YES,
FH,FHARParameterSettingsInformations,LastModifiedBy,text,YES,
FH,FHARParameterSettingsInformations,IsInActive,boolean,NO,
FH,FHARPaymentTypes,FHARPaymentTypeKey,uuid,NO,
FH,FHARPaymentTypes,RecordType,integer,NO,
FH,FHARPaymentTypes,PaymentTypeName,text,YES,
FH,FHARPaymentTypes,Created,timestamp without time zone,YES,
FH,FHARPaymentTypes,CreatedBy,text,YES,
FH,FHARPaymentTypes,LastModified,timestamp without time zone,YES,
FH,FHARPaymentTypes,LastModifiedBy,text,YES,
FH,FHARPaymentTypes,IsInActive,boolean,NO,
FH,FHARPaymentTypes,DefaultFHARPaymentTypeKey,uuid,YES,
FH,FHARPaymentTypes,DefaultPaymentGroup,integer,YES,
FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey,uuid,NO,
FH,FHAccountBreakConfigurations,PrimaryName,text,YES,
FH,FHAccountBreakConfigurations,DisplayName,text,YES,
FH,FHAccountBreakConfigurations,StandardNumberOfCodeDigits,integer,NO,
FH,FHAccountBreakConfigurations,SequenceNumber,integer,NO,
FH,FHAccountBreakConfigurations,FHAccountBreak,integer,NO,
FH,FHAccountBreakConfigurations,Created,timestamp without time zone,YES,
FH,FHAccountBreakConfigurations,CreatedBy,text,YES,
FH,FHAccountBreakConfigurations,LastModified,timestamp without time zone,YES,
FH,FHAccountBreakConfigurations,LastModifiedBy,text,YES,
FH,FHAccountBreakConfigurations,IsInActive,boolean,NO,
FH,FHAccountLineBalanceTypes,FHAccountLineBalanceTypeKey,uuid,NO,
FH,FHAccountLineBalanceTypes,FHAccountLineType,integer,NO,
FH,FHAccountLineBalanceTypes,FHBalanceType,integer,NO,
FH,FHAccountLineBalanceTypes,Created,timestamp without time zone,YES,
FH,FHAccountLineBalanceTypes,CreatedBy,text,YES,
FH,FHAccountLineBalanceTypes,LastModified,timestamp without time zone,YES,
FH,FHAccountLineBalanceTypes,LastModifiedBy,text,YES,
FH,FHAccountLineBalanceTypes,IsInActive,boolean,NO,
FH,FHAccountLineBreakDatas,FHAccountLineBreakDataKey,uuid,NO,
FH,FHAccountLineBreakDatas,AccountLineCode,text,YES,
FH,FHAccountLineBreakDatas,AccountLineName,text,YES,
FH,FHAccountLineBreakDatas,FHAccountLineRangeConfigurationKey,uuid,YES,
FH,FHAccountLineBreakDatas,Created,timestamp without time zone,YES,
FH,FHAccountLineBreakDatas,CreatedBy,text,YES,
FH,FHAccountLineBreakDatas,LastModified,timestamp without time zone,YES,
FH,FHAccountLineBreakDatas,LastModifiedBy,text,YES,
FH,FHAccountLineBreakDatas,IsInActive,boolean,NO,
FH,FHAccountLineBreakDatas,FHAccountBreakConfigurationKey,uuid,YES,
FH,FHAccountLineBreakDatas,IsCashAccountLine,boolean,YES,
FH,FHAccountLineBreakDatas,FHAccountLineType,integer,YES,
