table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
FH,FHAPCheckPrintTemplates,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHAPCheckPrintTemplates,PrintPaperFontCode,FH,FHFonts,Code
FH,FHAPInvoiceAccountLineCreditAmountLogs,FHAPInvoiceAccountLineFromDataKey,FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceAccountLineDataKey
FH,FHAPInvoiceAccountLineDatas,FHApInvoiceCheckDataKey,FH,FHAPInvoiceCheckDatas,FHAPInvoiceCheckDataKey
FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPInvoiceAccountLineDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHAPInvoiceAccountLineDatas,FHDistributionIdSetupDataKey,FH,FHDistributionIdSetupDatas,FHDistributionIdSetupDataKey
FH,FHAPInvoiceAccountLineDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHAPInvoiceCheckDatas,FHAPFinalizedRunDataKey,FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPInvoiceCheckDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPInvoiceCheckDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHAPInvoiceCheckDatas,FHDistributionIdSetupDataKey,FH,FHDistributionIdSetupDatas,FHDistributionIdSetupDataKey
FH,FHAPInvoiceCheckDatas,FHVendorSetupDataKey,FH,FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckDataKey,FH,FHAPInvoiceCheckDatas,FHAPInvoiceCheckDataKey
FH,FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckPrintDataKey,FH,FHAPInvoiceCheckPrintDatas,FHAPInvoiceCheckPrintDataKey
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceAccountLineFromDataKey,FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceAccountLineDataKey
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceFromDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPInvoiceCreditAppliedDatas,FHAPInvoiceToDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPInvoiceDatas,FHAPFinalizedRunDataKey,FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPInvoiceDatas,FHVendorSetupDataKey,FH,FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHAPInvoiceNachaDatas,FHAPFinalizedRunDataKey,FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceAccountLineDataKey,FH,FHAPInvoiceAccountLineDatas,FHAPInvoiceAccountLineDataKey
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
