table_schema,table_name,constraint_name,column_name
FH,FHAPCheckPrintTemplates,PK_FHAPCheckPrintTemplates,FHAPCheckTemplateKey
FH,FHAPFinalizedRunDatas,PK_FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPInvoiceAccountLineCreditAmountLogs,PK_FHAPInvoiceAccountLineCreditAmountLogs,FHAPInvoiceAccountLineCreditAmountLogKey
FH,FHAPInvoiceAccountLineDatas,PK_FHAPInvoiceAccountLineDatas,FHAPInvoiceAccountLineDataKey
FH,FHAPInvoiceCheckDatas,PK_FHAPInvoiceCheckDatas,FHAPInvoiceCheckDataKey
FH,FHAPInvoiceCheckPrintDatas,PK_FHAPInvoiceCheckPrintDatas,FHAPInvoiceCheckPrintDataKey
FH,FHAPInvoiceCheckPrintLogs,PK_FHAPInvoiceCheckPrintLogs,FHAPInvoiceCheckPrintLogKey
FH,FHAPInvoiceCreditAppliedDatas,PK_FHAPInvoiceCreditAppliedDatas,FHAPInvoiceCreditAppliedDataKey
FH,FHAPInvoiceDatas,PK_FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPInvoiceNachaDatas,PK_FHAPInvoiceNachaDatas,FHAPInvoiceNachaDataKey
FH,FHAPInvoiceNachaDetailDatas,PK_FHAPInvoiceNachaDetailDatas,FHAPInvoiceNachaDetailDataKey
FH,FHAPInvoiceNachalogs,PK_FHAPInvoiceNachalogs,FHAPInvoiceNachalogKey
FH,FHAPInvoiceNoteAttachmentDatas,PK_FHAPInvoiceNoteAttachmentDatas,FHAPInvoiceNoteAttachmentDataKey
FH,FHAPInvoiceNotesDatas,PK_FHAPInvoiceNotesDatas,FHAPInvoiceNoteDataKey
FH,FHAPParameterSettings,PK_FHAPParameterSettings,FHAPParameterSettingsKey
FH,FHAPParameterSettingsInformations,PK_FHAPParameterSettingsInformations,FHAPParameterSettingsInformationKey
FH,FHAPPrintDataLogs,PK_FHAPPrintDataLogs,FHAPPrintDataLogKey
FH,FHAPRunBankTransactionMappingDatas,PK_FHAPRunBankTransactionMappingDatas,FHAPRunBankTransactionMappingDataKey
FH,FHAPRunJournalMappingDatas,PK_FHAPRunJournalMappingDatas,FHAPRunJournalMappingDataKey
FH,FHARParameterSettings,PK_FHARParameterSettings,FHARParameterSettingsKey
FH,FHARParameterSettingsInformations,PK_FHARParameterSettingsInformations,FHARParameterSettingsInformationKey
FH,FHARPaymentTypes,PK_FHARPaymentTypes,FHARPaymentTypeKey
FH,FHAccountBreakConfigurations,PK_FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHAccountLineBalanceTypes,PK_FHAccountLineBalanceTypes,FHAccountLineBalanceTypeKey
FH,FHAccountLineBreakDatas,PK_FHAccountLineBreakDatas,FHAccountLineBreakDataKey
FH,FHAccountLineRangeConfigurations,PK_FHAccountLineRangeConfigurations,FHAccountLineRangeConfigurationKey
FH,FHAccountLineStatementTypes,PK_FHAccountLineStatementTypes,FHAccountLineStatementTypeKey
FH,FHAccountTypeLineBreakFormats,PK_FHAccountTypeLineBreakFormats,FHAccountTypeLineBreakFormatKey
FH,FHAccountingSettings,PK_FHAccountingSettings,FHAccountingSettingsKey
